[18:24:50] [main/INFO]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 39.0.79, --fml.mcVersion, 1.18.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20211210.034407, nogui]
[18:24:52] [main/INFO]: Found mod file assortedstorage-1.18.1-4.1.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AttributeFix-Forge-1.18.1-13.0.5.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file AutoRegLib-1.7-53.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file autorun-1.18-1.1.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file awesomedungeon-2.0.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file balm-2.4.2+0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file beenfo-1.18.1-forge39.0.9-1.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file BetterCompatibilityChecker-1.1.12-build.24+mc1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file BetterCrates-1.18.1-1.0.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file BetterThanBunnies-1.18-1.2.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file BetterThanLlamas-1.18-1.1.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Bibliotheca-1.18.1-1.7.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file bigbrain-1.4.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file BiomesOPlenty-1.18.1-15.0.0.105-universal.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file blue_skies-1.18.1-1.3.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file bonsaitrees3-3.0.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Bookshelf-Forge-1.18.1-12.0.21.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Botania-1.18.1-429.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file brutalbosses-1.18.1-3.9.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Buddycards-1.18.1-3.0.6.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file buildersaddition-1.18.1-20220123a.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file buildinggadgets-3.12.0-build.4+mc1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file burgermod-2.6.0-1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file bwncr-forge-1.18.1-3.10.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file caelus-forge-1.18.1-3.0.0.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file cagedmobs-1.18.1-1.5.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file carryon-1.18.1-1.17.0.7.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file catalogue-1.6.0-1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file cc-tweaked-1.18.1-1.100.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ceilingtorch-1.18.1-1.15.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file chalk-1.18.1-1.2.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ChanceCubes-1.18.1-5.0.2.447.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file chanceglobe-1.18-1.3.6.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Chargers-1.18.1-4.0.0.11.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file chipped-1.18.1-1.2.1-forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file chococraft-1.18.1-0.2.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file citadel-1.10.10-1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file cleancut-mc1.18-3.0-forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file cloth-config-6.2.57-forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Clumps-forge-1.18.1-8.0.0+5.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file CoffeeSpawner-1.18-9.0.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file CommonCapabilities-1.18.1-2.8.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file compactmachines-4.0.0-beta.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Compressium-1.4.0-build.4+mc1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ConfigMenusForge-v3.1.0-1.18.1-Forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file configured-1.5.3-1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file connectedglass-1.1.1-mc1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file connectivity-1.18-2.6.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file convenientcurioscontainer-1.1-1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file cookingforblockheads-forge-1.18.1-11.1.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file corail_pillar-5.4.0-1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file corail_woodcutter-1.18-2.2.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file CosmeticArmorReworked-1.18.1-v1a.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file craftingtweaks-forge-1.18.1-14.0.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file create-mc1.18.1_v0.4d.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file createaddition-1.18.1-20220125a.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file CreativeCore_v2.5.0_mc1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file creeperconfetti-3.10.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Croptopia-1.18-FORGE-1.8.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Cucumber-1.18.1-5.0.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file culinaryconstruct-forge-1.18.1-4.2.0.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file curios-forge-1.18.1-5.0.6.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file curious-armor-stands-1.18.1-4.0.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file cursery-1.18.1-2.8.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Cyclic-1.18.1-1.6.14.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file CyclopsCore-1.18.1-1.13.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DamageTilt-1.18-forge-0.1.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DeathCounter-1.18-1.2.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file dimdungeons-1.13.4-forge-1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DirtFlinger-0.2.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DoggyTalents-1.18.1-2.4.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file domum_ornamentum-1.18.1-1.0.39-ALPHA-universal.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DrawersTooltip-1.18.1-forge-4.1.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DungeonCrawl-1.18.1-2.3.7.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DungeonsArise-1.18.1-2.1.49d-beta.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file DustrialDecor-1.3.1-1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Dynamic Electricity-1.18.1-0.3.3-0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file easy_villagers-1.18.1-1.0.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ediblebugs-1.3.00_MC1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file einsteins_library-2.0-1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Electrodynamics-1.18.1-0.6.0-2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file elevatorid-1.18-1.8.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file EnderBags-1.18.1-8.0.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file energymeter-1.18.1-3.1.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file engineersdecor-1.18.1-1.1.19.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file EnigmaticLegacy-2.17.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file entangled-1.3.10-mc1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file expandability-5.0.0-forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file expandedstorage-7.3.10+1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ExplorersCompass-1.18.1-1.1.2-forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ExtendedCrafting-1.18.1-4.0.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ExtraDisks-1.18.1-2.0.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ExtremeReactors2-1.18.1-2.0.38.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file fallingthrough-1.18-1.8.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Fancy Battleaxes [1.18]-1.4.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file FarmersDelight-1.18.1-1.0.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file farmingforblockheads-forge-1.18.1-9.0.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file FastFurnace-1.18.1-6.0.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file FastWorkbench-1.18.1-6.0.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file feature_nbt_deadlock_be_gone_forge-1.0.0+1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ferritecore-4.1.2-forge.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file flywheel-forge-1.18-0.6.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ForgeEndertech-1.18.1-8.0.1.0-build.0059.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file FramedBlocks-4.2.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file framedcompactdrawers-1.18-4.0.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ftb-library-forge-1801.3.5-build.109.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ftb-quests-forge-1801.3.7-build.93.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ftb-teams-forge-1801.2.5-build.48.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file FuelCanister [1.18]-1.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file furniture-7.0.0-pre28-1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file GameMenuRemoveGFARB-1.18-Forge-1.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file gardentools-1.18-1.1.3.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file geckolib-1.18-forge-3.0.11.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file getittogetherdrops-1.18.1-1.1.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file glasscutter-1.18-2.0.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file glassential-forge-1.18-1.2.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file globalxp-1.18.1-1.9.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Gobber2-Forge-1.18.1-2.6.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file guardvillagers-1.18.1.4.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file HostileNeuralNetworks-1.18.1-3.0.8.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file HunterIllager-1.18.1-3.1.6.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file HyperLighting-1.18.1-1.2.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Iceberg-1.18.1-1.0.40.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ImmersiveEngineering-1.18.1-7.1.0-145.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ImmersivePosts-1.18.1-4.3.0-2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file infernalmobs-1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file InsaneLib-1.4.3-mc1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file Instrumental-Mobs-1.18-1.3.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file IntegratedCrafting-1.18.1-1.0.21.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file IntegratedDynamics-1.18.1-1.10.10.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file IntegratedTerminals-1.18.1-1.2.15.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file IntegratedTunnels-1.18.1-1.8.11.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file InventoryHud_[1.18].forge-3.4.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file InventoryProfilesNext-forge-1.18-1.3.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ironfurnaces-1.18.1-3.1.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file ITank-1.18.1-1.7.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file item-filters-forge-1801.2.6-build.16.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file itemcollectors-1.1.4-mc1.18.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file JAMD-1.6.0-build.23+mc1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file JAOPCA-1.18.1-4.0.1.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file JAVD-2.9.0-build.53+mc1.18.1.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file jmi-1.18.1-0.8-44.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file journeymap-1.18.1-5.8.0beta15.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file jousting-1.18.0-v1.0.4.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file JustEnoughProfessions-1.18-1.2.2.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file JustEnoughResources-1.18.1-0.14.0.155.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file kleeslabs-forge-1.18.1-11.1.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file krypton-1.0.0.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file kubejs-create-1801.2.0-build.14.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file kubejs-forge-1801.4.3-build.307.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
[18:24:52] [main/INFO]: Found mod file kubejs-immersive-engineering-1801.2.0-build.31.jar of type MOD with locator {mods folder locator at /home/mch/multicraft/servers/server173959/mods}
